"id";"cand_id";"funds";"state_code";"year"
22;2;6465842.01;"MI";2016
23;1;2491951.66;"MI";2016
24;4;18068113.4;"MI";2012
25;4;14932923.5;"MI";2008
26;3;9814472.41;"MI";2012
27;5;4797486.94;"MI";2008
28;7;2494902.95;"MI";2004
29;6;5257938.94;"MI";2004
30;8;931520.0;"MI";2000
31;6;154972.0;"MI";2000
32;10;455920.0;"MI";1996
33;9;463819.0;"MI";1996
34;10;129535.0;"MI";1992
35;11;2140346.0;"MI";1992
36;11;713550.0;"MI";1988
37;12;9050.0;"MI";1988
38;13;86270.0;"MI";1984
39;14;168336.0;"MI";1984
40;14;309976.0;"MI";1980
41;15;83385.0;"MI";1980
42;2;16138595.67;"IL";2016
43;1;3049052.07;"IL";2016
44;4;71902346.32;"IL";2008
45;4;63495575.18;"IL";2012
46;3;13737783.24;"IL";2012
47;5;7487710.34;"IL";2008
48;7;7012211.54;"IL";2004
49;6;7139526.59;"IL";2004
50;8;3060704.0;"IL";2000
51;6;245375.0;"IL";2000
52;10;1040836.0;"IL";1996
53;9;718576.0;"IL";1996
54;10;603610.0;"IL";1992
55;11;2843807.0;"IL";1992
56;11;849690.0;"IL";1988
57;12;31500.0;"IL";1988
58;13;479930.0;"IL";1984
59;14;319925.0;"IL";1984
60;14;345397.0;"IL";1980
61;15;381820.0;"IL";1980
62;2;1669624.96;"ME";2016
63;1;214756.57;"ME";2016
64;4;5325288.68;"ME";2012
65;4;4517080.08;"ME";2008
66;3;616346.84;"ME";2012
67;5;474397.48;"ME";2008
68;7;1047763.13;"ME";2004
69;6;399303.33;"ME";2004
70;8;109825.0;"ME";2000
71;6;19300.0;"ME";2000
72;10;31575.0;"ME";1996
73;9;36875.0;"ME";1996
74;10;34575.0;"ME";1992
75;11;109866.0;"ME";1992
76;11;130800.0;"ME";1988
77;12;1500.0;"ME";1988
78;13;20575.0;"ME";1984
79;14;13750.0;"ME";1984
80;14;10935.0;"ME";1980
81;15;23059.0;"ME";1980
82;2;817332.02;"VT";2016
83;1;78155.19;"VT";2016
84;4;4597018.22;"VT";2012
85;4;4233639.7;"VT";2008
86;3;296910.6;"VT";2012
87;5;206689.0;"VT";2008
88;7;511794.95;"VT";2004
89;6;273328.0;"VT";2004
90;8;70100.0;"VT";2000
91;6;4250.0;"VT";2000
92;10;31700.0;"VT";1996
93;9;10792.0;"VT";1996
94;10;26700.0;"VT";1992
95;11;33580.0;"VT";1992
96;11;30500.0;"VT";1988
97;12;500.0;"VT";1988
98;13;9100.0;"VT";1984
99;14;5250.0;"VT";1984
100;14;4800.0;"VT";1980
101;15;4000.0;"VT";1980
102;2;1575293.73;"NH";2016
103;1;400789.66;"NH";2016
104;4;5034842.68;"NH";2008
105;4;4847836.84;"NH";2012
106;3;1744507.32;"NH";2012
107;5;914160.0;"NH";2008
108;7;833642.82;"NH";2004
109;6;634338.06;"NH";2004
110;8;178500.0;"NH";2000
111;6;26100.0;"NH";2000
112;10;54900.0;"NH";1996
113;9;122737.0;"NH";1996
114;10;60489.0;"NH";1992
115;11;166503.0;"NH";1992
116;11;116785.0;"NH";1988
117;12;13300.0;"NH";1988
118;13;23100.0;"NH";1984
119;14;21950.0;"NH";1984
120;14;29350.0;"NH";1980
121;15;33045.0;"NH";1980
122;2;21253268.55;"MA";2016
123;1;1707455.25;"MA";2016
124;4;50086247.32;"MA";2008
125;4;46257627.3;"MA";2012
126;3;11604740.36;"MA";2012
127;5;4278609.6;"MA";2008
128;7;14697800.26;"MA";2004
129;6;4290989.07;"MA";2004
130;8;1960758.0;"MA";2000
131;6;112681.0;"MA";2000
132;10;1035550.0;"MA";1996
133;9;548222.0;"MA";1996
134;10;761304.0;"MA";1992
135;11;1294626.0;"MA";1992
136;11;397945.0;"MA";1988
137;12;574905.0;"MA";1988
138;13;289550.0;"MA";1984
139;14;146000.0;"MA";1984
140;14;141644.0;"MA";1980
141;15;287000.0;"MA";1980
142;2;8237213.91;"CT";2016
143;1;977399.61;"CT";2016
144;4;19752985.32;"CT";2008
145;4;15901822.22;"CT";2012
146;3;10187120.79;"CT";2012
147;5;4264806.71;"CT";2008
148;7;3584862.98;"CT";2004
149;6;4285682.02;"CT";2004
150;8;1260237.0;"CT";2000
151;6;197421.0;"CT";2000
152;10;268950.0;"CT";1996
153;9;569070.0;"CT";1996
154;10;366300.0;"CT";1992
155;11;1582389.0;"CT";1992
156;11;877099.0;"CT";1988
157;12;29250.0;"CT";1988
158;13;217455.0;"CT";1984
159;14;157500.0;"CT";1984
160;14;118920.0;"CT";1980
161;15;301250.0;"CT";1980
162;2;1667153.29;"RI";2016
163;1;180066.14;"RI";2016
164;4;3193038.62;"RI";2008
165;4;2896972.06;"RI";2012
166;3;680266.92;"RI";2012
167;5;354130.0;"RI";2008
168;7;992584.23;"RI";2004
169;6;314870.0;"RI";2004
170;8;268510.0;"RI";2000
171;6;9900.0;"RI";2000
172;10;56500.0;"RI";1996
173;9;37950.0;"RI";1996
174;10;51800.0;"RI";1992
175;11;106510.0;"RI";1992
176;11;22250.0;"RI";1988
177;12;3750.0;"RI";1988
178;13;42000.0;"RI";1984
179;14;12000.0;"RI";1984
180;14;4300.0;"RI";1980
181;15;84525.0;"RI";1980
182;2;71119196.92;"NY";2016
183;1;5069570.9;"NY";2016
184;4;119877489.84;"NY";2008
185;4;98089673.32;"NY";2012
186;3;25712849.77;"NY";2012
187;5;13780870.01;"NY";2008
188;7;23716852.14;"NY";2004
189;6;12203848.78;"NY";2004
190;8;7866204.0;"NY";2000
191;6;450350.0;"NY";2000
192;10;2425355.0;"NY";1996
193;9;2804716.0;"NY";1996
194;10;2243252.0;"NY";1992
195;11;4988996.0;"NY";1992
196;11;2401160.0;"NY";1988
197;12;250450.0;"NY";1988
198;13;1708550.0;"NY";1984
199;14;523747.0;"NY";1984
200;14;542644.0;"NY";1980
201;15;1099231.0;"NY";1980
202;2;12780822.73;"PA";2016
203;1;3627635.94;"PA";2016
204;4;29533902.76;"PA";2008
205;4;28315291.84;"PA";2012
206;3;12085434.31;"PA";2012
207;5;5428267.79;"PA";2008
208;7;5120304.16;"PA";2004
209;6;5394804.15;"PA";2004
210;8;2105969.0;"PA";2000
211;6;166499.0;"PA";2000
212;10;966400.0;"PA";1996
213;9;733139.0;"PA";1996
214;10;469049.0;"PA";1992
215;11;1808122.0;"PA";1992
216;11;614190.0;"PA";1988
217;12;27950.0;"PA";1988
218;13;338622.0;"PA";1984
219;14;200500.0;"PA";1984
220;14;235858.0;"PA";1980
221;15;317400.0;"PA";1980
222;2;12370471.6;"NJ";2016
223;1;2533094.33;"NJ";2016
224;4;27813734.56;"NJ";2008
225;4;24043288.04;"NJ";2012
226;3;10880158.75;"NJ";2012
227;5;5355787.37;"NJ";2008
228;7;6107954.45;"NJ";2004
229;6;6076185.44;"NJ";2004
230;8;2399920.0;"NJ";2000
231;6;166800.0;"NJ";2000
232;10;1038845.0;"NJ";1996
233;9;1036061.0;"NJ";1996
234;10;877580.0;"NJ";1992
235;11;1352567.0;"NJ";1992
236;11;807950.0;"NJ";1988
237;12;60025.0;"NJ";1988
