Election year,Winning party,Democratic candidate,Republican candidate
2016,Republican,Hillary Clinton,Donald Trump
2012,Democrat,Barack Obama,Mitt Romney
2008,Democrat,Barack Obama,John McCain
2004,Republican,John Kerry,George W. Bush
2000,Republican,Al Gore,George W. Bush
1996,Democrat,Bill Clinton,Bob Dole
1992,Democrat,Bill Clinton,George H. W. Bush
1988,Republican,Michael Dukakis,George H. W. Bush
1984,Republican,Ronald Reagan,Walter Mondale
1980,Republican,Ronald Reagan,Jimmy Carter
1976,Democrat,Jimmy Carter,Gerald Ford
1972,Republican,Richard Nixon,George McGovern
